DMR_chr	DMR_start	DMR_end	DMR_meth.diff	gene_seqname	gene_source	DMR_feature	gene_start	gene_end	gene_score	gene_strand	DMR_frame	gene_attribute	dist_bp	Length	Blast.Type	Blast.Database	db	acc	entry_name	Hit.Description	Score	E.Value	Identities	Query.Start	Query.End	Hit.Start	Hit.End
scaffold_1053	240601	240700	-75.2315559980833	scaffold_1053	Gaze	mRNA	236254	242140	42.4608	+	.	GSONMT00033334001	0	1269	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q1KL12.1	HXA3A_TAKRU	RecName: Full=Homeobox protein Hox-A3a [Takifugu rubripes]	1358	0	336/425 (79%)	1	1266	1	417
scaffold_12	553201	553300	-77.7546785562807	scaffold_12	Gaze	mRNA	551061	553766	35.1637	+	.	GSONMT00065649001	0	1623	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q6UFS5.1	ZN503_DANRE	RecName: Full=Zinc finger protein 503; AltName: Full=NocA-like zinc finger protein 2 [Danio rerio]	1497	0	408/579 (70%)	1	1620	1	563
scaffold_12562	9601	9700	-80.1604101243045	scaffold_12562	Gaze	mRNA	8312	11566	51.676	+	.	GSONMT00009527001	0	801	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q6NVN3.1	IRX3_XENTR	RecName: Full=Iroquois-class homeodomain protein irx-3; AltName: Full=Iroquois homeobox protein 3 [Xenopus (Silurana) tropicalis]	488	4e-56	96/135 (71%)	1	399	1	134
scaffold_1344	227301	227400	-85.0827714229338	scaffold_1344	Gaze	mRNA	226776	229369	101.3928	+	.	GSONMT00033437001	0	1353	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q90270.1	PO5F1_DANRE	RecName: Full=POU domain, class 5, transcription factor 1; AltName: Full=POU domain protein 2 [Danio rerio]	1304	3e-175	318/482 (65%)	1	1350	1	472
scaffold_1344	227401	227500	-87.694714638437	scaffold_1344	Gaze	mRNA	226776	229369	101.3928	+	.	GSONMT00033437001	0	1353	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q90270.1	PO5F1_DANRE	RecName: Full=POU domain, class 5, transcription factor 1; AltName: Full=POU domain protein 2 [Danio rerio]	1304	3e-175	318/482 (65%)	1	1350	1	472
scaffold_136	622301	622400	-87.5085159347704	scaffold_136	Gaze	mRNA	622589	648787	367.051	+	.	GSONMT00066870001	-189	3537	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q9Y4G8.1	RPGF2_HUMAN	RecName: Full=Rap guanine nucleotide exchange factor 2; AltName: Full=Cyclic nucleotide ras GEF; Short=CNrasGEF; AltName: Full=Neural RAP guanine nucleotide exchange protein; Short=nRap GEP; AltName: Full=PDZ domain-containing guanine nucleotide exchange factor 1; Short=PDZ-GEF1; AltName: Full=RA-GEF-1; AltName: Full=Ras/Rap1-associating GEF-1 [Homo sapiens]	3851	0	776/920 (84%)	790	3483	222	1128
scaffold_1611	142801	142900	-95.1485434273574	scaffold_1611	Gaze	mRNA	115360	116668	39.1347	-	.	GSONMT00058749001	-26134	699	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q5XJW2.2	G45IP_RAT	RecName: Full=Growth arrest and DNA damage-inducible proteins-interacting protein 1; AltName: Full=39S ribosomal protein L59, mitochondrial; Short=MRP-L59 [Rattus norvegicus]	322	2e-34	72/136 (52%)	169	576	40	175
scaffold_1931	101701	101800	-89.8148052748216	scaffold_1931	Gaze	mRNA	86908	116168	243.7489	+	.	GSONMT00019901001	0	4398	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q9UKV3.2	ACINU_HUMAN	RecName: Full=Apoptotic chromatin condensation inducer in the nucleus; Short=Acinus [Homo sapiens]	906	2e-99	258/454 (56%)	2848	4203	802	1233
scaffold_1959	54401	54500	-79.6399103996467	scaffold_1959	Gaze	mRNA	53776	71297	100.0246	-	.	GSONMT00011470001	0	1998	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q1KL12.1	HXA3A_TAKRU	RecName: Full=Homeobox protein Hox-A3a [Takifugu rubripes]	1311	7e-174	331/428 (77%)	1	1269	1	417
scaffold_244	217501	217600	-87.0552643363386	scaffold_244	Gaze	mRNA	215887	217837	18.2911	-	.	GSONMT00073495001	0	951	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q90346.1	HXB1_CYPCA	RecName: Full=Homeobox protein Hox-B1 [Cyprinus carpio]	1030	3e-138	230/300 (76%)	1	897	1	298
